config,fk_pos_mm,fk_rot_deg,rdk_ik_mm,rdk_ik_rot_rad,rdk_ik_ms,dls_ik_mm,dls_ik_rot_rad,dls_ik_ms
zero,2.143131898507869e-15,0.0,3.2146978477617976e-15,0.0,0.37449970841407776,0.053030267118996645,6.816214957532793e-05,3.5797003656625748
J1+30,8.038873388460929e-14,0.0,8.038873388460929e-14,0.0,0.4256991669535637,0.00032445540216419,1.366364167493408e-06,4.02700062841177
J2+45,3.33562398762433e-14,0.0,1.1685617474298488e-13,0.0,0.3917999565601349,0.06382410021937082,3.5209952493969474e-05,1.6006994992494583
J3-30,5.974469253728935e-14,0.0,2.0534984356762686e-13,0.0,0.3758007660508156,0.008834786569073974,7.954568680161113e-06,1.8078004941344261
J5+90,2.755455298081544e-15,0.0,2.755455298081541e-15,0.0,0.40559936314821243,1.2541697867399132e-05,5.535535699429198e-07,3.5865996032953262
rand1,2.6822400070865445e-13,0.0,1.5047577397204036e-12,2.1073424255447017e-08,0.40160026401281357,0.043580979100340284,7.996000309910803e-05,2.2964002564549446
rand2,1.530555893832145e-13,0.0,2.1268859807002749e-13,0.0,0.36109983921051025,3.406366912740699e-05,1.0844913196915569e-05,2.568800002336502
home,3.552713678800501e-15,0.0,1.1374233532693354e-13,0.0,0.3558006137609482,0.0002542795361977656,5.832201037288762e-06,2.048100344836712
