config,fk_diff_pos_mm,fk_diff_rot_deg,fk_ours_ms,fk_rdk_ms,ik_pieper_pos_mm,ik_pieper_rot_arcsec,ik_pieper_n_sols,ik_pieper_ms,ik_dls_pos_mm,ik_dls_rot_arcsec,ik_dls_n_sols,ik_dls_ms,ik_lm_pos_mm,ik_lm_rot_arcsec,ik_lm_n_sols,ik_lm_ms,ik_sdls_pos_mm,ik_sdls_rot_arcsec,ik_sdls_n_sols,ik_sdls_ms,ik_bfgs_pos_mm,ik_bfgs_rot_arcsec,ik_bfgs_n_sols,ik_bfgs_ms,ik_robodk_pos_mm,ik_robodk_rot_arcsec,ik_robodk_n_sols,ik_robodk_ms
zero,2.143131898507869e-15,0.0,0.9666001424193382,1.8699998036026955,0.0,0.0,3,0.6547998636960983,0.05303820859916945,14.059354473858988,1,2.585100010037422,0.05363426061131069,7.025754412174509,1,1.8143001943826675,0.05528343709358805,7.603597372906361,1,3.268100321292877,0.11427624215997685,27.383104480973948,1,10696.217800490558,1.3573168690549834e-14,0.0,1,0.7150005549192429
J1+30,8.038873388460929e-14,0.0,0.10660011321306229,0.2522999420762062,5.684341886080802e-14,0.0,5,0.2194000408053398,0.0003248082439114218,0.2818328402710029,1,1.3274000957608223,0.0006112472986446675,0.04661322636196498,1,1.0794000700116158,0.3415245315587235,106.27532596071006,1,1.003100536763668,0.40513851607694545,31.87075458833887,1,10.8730997890234,8.038873388460929e-14,0.0,1,0.35980064421892166
J2+45,3.33562398762433e-14,0.0,0.11090002954006195,0.37400051951408386,0.0,0.0,3,0.2773003652691841,0.0638314905503922,7.262458259843308,1,1.5237005427479744,0.06412286497789643,7.707903174396083,1,1.1291997507214546,0.06420351130885486,8.301825686343847,1,1.057400368154049,0.14766742745907876,29.19147957573166,1,12.233300134539604,1.218871079122509e-13,0.0,1,0.4312004894018173
J3-30,5.974469253728935e-14,0.0,0.1133996993303299,0.2945996820926666,5.684341886080802e-14,0.0,3,0.1796996220946312,0.008834886210359917,1.6407648405894086,1,0.979200005531311,0.008628724938534275,1.0850408504928017,1,0.966300256550312,0.008488189955163006,0.7300783740443851,1,1.1590998619794846,0.35387794644199655,21.880315213919612,1,6.695200689136982,1.6350271672459108e-13,0.0,1,0.3288993611931801
J5+90,2.755455298081544e-15,0.0,0.1179007813334465,0.2762991935014725,0.0,0.0,4,0.18529966473579407,0.10587256813710719,25.69606358665735,1,1.9407998770475388,0.10606904845358191,25.369119923266027,1,1.6674995422363281,0.10618495344973812,25.490502116815218,1,2.271500416100025,0.12292178725447231,57.307550649302236,1,9.28100012242794,2.755455298081541e-15,0.0,1,0.5147000774741173
rand1,2.6822400070865445e-13,0.0,0.1801997423171997,0.38080010563135147,2.773848179905249e-13,0.0,8,0.5976995453238487,0.043590061452544855,16.493045666905964,1,1.528499647974968,0.04313594005605006,34.680674930720805,1,1.298699527978897,0.04279650462386919,43.39153902630447,1,1.5786997973918915,0.2101409534091665,69.49552437137535,1,16.529100015759468,2.015049590296376e-13,0.0,1,0.4495996981859207
rand2,1.530555893832145e-13,0.0,0.09860005229711533,0.26169978082180023,2.1268859807002749e-13,0.0,6,0.19570067524909973,0.1740411174102848,37.8549712372227,1,0.8012000471353531,0.17380924128434158,17.132611242893702,1,0.7752003148198128,0.17358645280021648,14.765021815650055,1,0.9008003398776054,0.479324434352085,92.5033094183016,1,13.822699896991253,1.2710574864626038e-13,0.0,1,0.6362004205584526
home,3.552713678800501e-15,0.0,0.10120030492544174,0.3205006942152977,1.156679772130055e-13,0.0,4,0.18240045756101608,0.44425772186845147,155.98825766387748,1,1.2245001271367073,0.443389612056519,147.03876944889527,1,0.8600000292062759,0.44292520943037267,149.50354314736995,1,1.0583996772766113,0.34824538803479554,199.03359527305304,1,10.823899880051613,1.139086659085919e-13,0.0,1,0.5029002204537392
rand_000,2.7847474288855413e-13,1.2074182697257333e-06,0.11570006608963013,0.33559929579496384,3.126388037344441e-13,0.0,4,0.3256993368268013,0.00021711006814330118,0.45770626011738663,1,2.1251998841762543,0.00021741863610293488,0.09271840287768379,1,2.7194004505872726,0.00021718339827748087,0.0923099497776348,1,2.034500241279602,0.2933776390457562,62.34067761968838,1,11.023900471627712,1.9691137908567693e-13,0.006147170253011476,1,0.4394007846713066
rand_001,1.2710574864626038e-13,1.2074182697257333e-06,0.21860003471374512,0.32350048422813416,2.799213746640164e-13,0.00434670577101264,4,0.2835998311638832,0.37657070381135316,48.853225929900084,1,1.841600053012371,0.38216492119712664,81.55787879627516,1,1.8809996545314789,0.008957708582794788,0.6904834810785067,1,2.0840000361204147,0.30754092945623734,35.744974993414864,1,15.084300190210342,1.262128723236317e-12,0.0,1,0.42750034481287
rand_002,6.961868572213853e-14,0.0,0.10140053927898407,0.2772994339466095,6.355287432313019e-14,0.00434670577101264,6,0.21209940314292908,0.14795947970089726,32.180368200895835,1,0.86240004748106,0.1481251088032674,29.342056698954305,1,1.0169995948672295,0.14821860463875358,30.06947129411977,1,0.9447997435927391,0.18336101335346164,61.57801435047304,1,12.891899794340134,2.4245234143369995e-12,0.00434670577101264,1,0.42109936475753784
rand_003,5.684341886080802e-14,0.0,0.10180007666349411,0.27159973978996277,1.6077746776921858e-13,0.0,8,0.4016999155282974,0.0032480590802412353,6.005609162080251,1,2.094700001180172,0.0032730207006529187,1.7134623730605434,1,1.7398996278643608,0.00754675035002202,1.9597184551338045,1,1.553199253976345,0.3257786756078121,62.16289962976471,1,15.366300009191036,6.87429441225494e-13,0.0,1,0.5713999271392822
rand_004,9.800597115467527e-14,1.2074182697257333e-06,0.11389981955289841,0.4604998975992203,1.0658141036401503e-14,0.0,2,0.24150032550096512,0.08290321224739865,121.85486005877742,1,1.2835003435611725,0.08360399501221823,85.17624151463453,1,0.8973004296422005,0.08416620924240426,75.70662637421577,1,1.0766005143523216,0.395158142134497,71.46574792529523,1,17.069799825549126,2.9367428393715847e-13,0.006147170253011476,1,0.4709996283054352
