config,fk_pos_mm,fk_rot_deg,rdk_ik_mm,rdk_ik_rot_rad,rdk_ik_ms,dls_ik_mm,dls_ik_rot_rad,dls_ik_ms
zero,2.143131898507869e-15,0.0,3.2146978477617976e-15,0.0,0.798800028860569,0.05303820859916945,6.8161673964954e-05,1.3410001993179321
J1+30,8.038873388460929e-14,0.0,8.038873388460929e-14,0.0,0.3399001434445381,0.0003248082439114218,1.366364167493408e-06,1.9117994233965874
J2+45,3.33562398762433e-14,0.0,1.1685617474298488e-13,0.0,0.5412008613348007,0.0638314905503922,3.52093912285899e-05,1.733199693262577
J3-30,5.974469253728935e-14,0.0,2.0534984356762686e-13,0.0,0.33560022711753845,0.008834886210359917,7.954652422012522e-06,1.2512998655438423
J5+90,2.755455298081544e-15,0.0,2.755455298081541e-15,0.0,0.3535998985171318,1.2622992846202361e-05,5.535535699429198e-07,1.0112002491950989
rand1,2.6822400070865445e-13,0.0,1.5047577397204036e-12,2.1073424255447017e-08,1.0166997089982033,0.043590061452544855,7.996054182480362e-05,1.041799783706665
rand2,1.530555893832145e-13,0.0,2.1268859807002749e-13,0.0,0.46689994633197784,3.414494922117995e-05,1.0845179362664392e-05,1.856599934399128
home,3.552713678800501e-15,0.0,1.1374233532693354e-13,0.0,0.3311997279524803,0.00025449361651959347,5.832315252708967e-06,1.5652002766728401
