config,fk_diff_pos_mm,fk_diff_rot_deg,fk_ours_ms,fk_rdk_ms,ik_pieper_pos_mm,ik_pieper_rot_arcsec,ik_pieper_n_sols,ik_pieper_ms,ik_dls_pos_mm,ik_dls_rot_arcsec,ik_dls_n_sols,ik_dls_ms,ik_lm_pos_mm,ik_lm_rot_arcsec,ik_lm_n_sols,ik_lm_ms,ik_sdls_pos_mm,ik_sdls_rot_arcsec,ik_sdls_n_sols,ik_sdls_ms,ik_bfgs_pos_mm,ik_bfgs_rot_arcsec,ik_bfgs_n_sols,ik_bfgs_ms,ik_robodk_pos_mm,ik_robodk_rot_arcsec,ik_robodk_n_sols,ik_robodk_ms
zero,2.143131898507869e-15,0.0,0.7977001368999481,0.9042993187904358,0.0,0.0,3,0.8685998618602753,0.05303820859916945,14.059354473858988,1,3.0247997492551804,0.05363426061131069,7.025754412174509,1,1.8722005188465118,0.05528343709358805,7.603597372906361,1,2.328699454665184,0.11427624215997685,27.383104480973948,1,1092.969300225377,1.3573168690549834e-14,0.0,1,0.7575005292892456
J1+30,8.038873388460929e-14,0.0,0.46209990978240967,0.5378006026148796,5.684341886080802e-14,0.0,5,0.3931000828742981,0.0003248082439114218,0.2818328402710029,1,2.345600165426731,0.0006112472986446675,0.04661322636196498,1,2.2661006078124046,0.3415245315587235,106.27532596071006,1,1.9904999062418938,0.40513851607694545,31.87075458833887,1,18.908499740064144,8.038873388460929e-14,0.0,1,0.6964001804590225
J2+45,3.33562398762433e-14,0.0,0.2721007913351059,0.5190996453166008,0.0,0.0,3,0.31880009919404984,0.0638314905503922,7.262458259843308,1,1.728699542582035,0.06412286497789643,7.707903174396083,1,1.5399996191263199,0.06420351130885486,8.301825686343847,1,1.787399873137474,0.14766742745907876,29.19147957573166,1,18.249000422656536,1.218871079122509e-13,0.0,1,0.7383003830909729
J3-30,5.974469253728935e-14,0.0,0.2142004668712616,0.5438998341560364,5.684341886080802e-14,0.0,3,0.3204001113772392,0.008834886210359917,1.6407648405894086,1,1.6543995589017868,0.008628724938534275,1.0850408504928017,1,1.5529002994298935,0.008488189955163006,0.7300783740443851,1,1.9168006256222725,0.35387794644199655,21.880315213919612,1,10.791500099003315,1.6350271672459108e-13,0.0,1,0.6205998361110687
J5+90,2.755455298081544e-15,0.0,0.1830998808145523,0.5432004109025002,0.0,0.0,4,0.26059988886117935,0.10587256813710719,25.69606358665735,1,1.2577008455991745,0.10606904845358191,25.369119923266027,1,1.1963993310928345,0.10618495344973812,25.490502116815218,1,1.4302004128694534,0.12292178725447231,57.307550649302236,1,14.775199815630913,2.755455298081541e-15,0.0,1,0.6428994238376617
rand1,2.6822400070865445e-13,0.0,0.20029954612255096,0.5494998767971992,2.773848179905249e-13,0.0,8,0.44300034642219543,0.043590061452544855,16.493045666905964,1,1.496800221502781,0.04313594005605006,34.680674930720805,1,2.0406004041433334,0.04279650462386919,43.39153902630447,1,1.698000356554985,0.2101409534091665,69.49552437137535,1,28.16689945757389,2.015049590296376e-13,0.0,1,0.7721995934844017
rand2,1.530555893832145e-13,0.0,0.24450011551380157,0.5403999239206314,2.1268859807002749e-13,0.0,6,0.42510032653808594,0.1740411174102848,37.8549712372227,1,1.7860997468233109,0.17380924128434158,17.132611242893702,1,1.5300996601581573,0.17358645280021648,14.765021815650055,1,1.7337994650006294,0.479324434352085,92.5033094183016,1,22.464100271463394,1.2710574864626038e-13,0.0,1,0.6798999384045601
home,3.552713678800501e-15,0.0,0.18579978495836258,0.5222996696829796,1.156679772130055e-13,0.0,4,0.2972995862364769,0.44425772186845147,155.98825766387748,1,1.55629962682724,0.443389612056519,147.03876944889527,1,1.6179997473955154,0.44292520943037267,149.50354314736995,1,1.919599249958992,0.34824538803479554,199.03359527305304,1,19.038600847125053,1.139086659085919e-13,0.0,1,0.7472001016139984
rand_000,2.7847474288855413e-13,1.2074182697257333e-06,0.19320007413625717,0.5674995481967926,3.126388037344441e-13,0.0,4,0.34029968082904816,0.00021711006814330118,0.45770626011738663,1,2.270900644361973,0.00021741863610293488,0.09271840287768379,1,2.0548002794384956,0.00021718339827748087,0.0923099497776348,1,2.59189959615469,0.2933776390457562,62.34067761968838,1,15.461599454283714,1.9691137908567693e-13,0.006147170253011476,1,0.6031999364495277
rand_001,1.2710574864626038e-13,1.2074182697257333e-06,0.17769914120435715,0.5206000059843063,2.799213746640164e-13,0.00434670577101264,4,0.3651995211839676,0.37657070381135316,48.853225929900084,1,2.0212000235915184,0.38216492119712664,81.55787879627516,1,1.797899603843689,0.008957708582794788,0.6904834810785067,1,2.9510995373129845,0.30754092945623734,35.744974993414864,1,29.195300303399563,1.262128723236317e-12,0.0,1,0.7715998217463493
rand_002,6.961868572213853e-14,0.0,0.17819926142692566,0.6312001496553421,6.355287432313019e-14,0.00434670577101264,6,0.3718007355928421,0.14795947970089726,32.180368200895835,1,1.5345998108386993,0.1481251088032674,29.342056698954305,1,1.4248993247747421,0.14821860463875358,30.06947129411977,1,3.432699479162693,0.18336101335346164,61.57801435047304,1,24.571700021624565,2.4245234143369995e-12,0.00434670577101264,1,0.6836000829935074
