config,fk_pos_mm,fk_rot_deg,rdk_ik_mm,rdk_ik_rot_rad,rdk_ik_ms,dls_ik_mm,dls_ik_rot_rad,dls_ik_ms
zero,2.143131898507869e-15,0.0,3.2146978477617976e-15,0.0,0.30659977346658707,0.05303820859916945,6.8161673964954e-05,0.8453000336885452
J1+30,8.038873388460929e-14,0.0,8.038873388460929e-14,0.0,0.3200992941856384,0.0003248082439114218,1.366364167493408e-06,1.132400706410408
J2+45,3.33562398762433e-14,0.0,1.1685617474298488e-13,0.0,0.24230033159255981,0.0638314905503922,3.52093912285899e-05,0.7148999720811844
J3-30,5.974469253728935e-14,0.0,2.0534984356762686e-13,0.0,0.5468996241688728,0.008834886210359917,7.954652422012522e-06,1.5148995444178581
J5+90,2.755455298081544e-15,0.0,2.755455298081541e-15,0.0,0.3379993140697479,1.2622992846202361e-05,5.535535699429198e-07,1.5241997316479683
rand1,2.6822400070865445e-13,0.0,1.5047577397204036e-12,2.1073424255447017e-08,0.2850005403161049,0.043590061452544855,7.996054182480362e-05,0.9711002930998802
rand2,1.530555893832145e-13,0.0,2.1268859807002749e-13,0.0,0.28140004724264145,3.414494922117995e-05,1.0845179362664392e-05,1.6644001007080078
home,3.552713678800501e-15,0.0,1.1374233532693354e-13,0.0,0.2803998067975044,0.00025449361651959347,5.832315252708967e-06,0.9300997480750084
