config,fk_diff_pos_mm,fk_diff_rot_deg,fk_ours_ms,fk_rdk_ms,ik_pieper_pos_mm,ik_pieper_rot_arcsec,ik_pieper_n_sols,ik_pieper_ms,ik_dls_pos_mm,ik_dls_rot_arcsec,ik_dls_n_sols,ik_dls_ms,ik_lm_pos_mm,ik_lm_rot_arcsec,ik_lm_n_sols,ik_lm_ms,ik_sdls_pos_mm,ik_sdls_rot_arcsec,ik_sdls_n_sols,ik_sdls_ms,ik_bfgs_pos_mm,ik_bfgs_rot_arcsec,ik_bfgs_n_sols,ik_bfgs_ms,ik_robodk_pos_mm,ik_robodk_rot_arcsec,ik_robodk_n_sols,ik_robodk_ms
zero,2.143131898507869e-15,0.0,0.6442992016673088,0.7189996540546417,0.0,0.0,3,0.420999713242054,0.05303820859916945,14.059354473858988,1,2.409699372947216,0.05363426061131069,7.025754412174509,1,1.841999590396881,0.05528343709358805,7.603597372906361,1,2.4741999804973602,0.11427624215997685,27.383104480973948,1,1365.6377997249365,1.3573168690549834e-14,0.0,1,0.537400133907795
J1+30,8.038873388460929e-14,0.0,0.12669991701841354,0.30460022389888763,5.684341886080802e-14,0.0,5,0.2476004883646965,0.0003248082439114218,0.2818328402710029,1,1.2726997956633568,0.0006112472986446675,0.04661322636196498,1,1.235099509358406,0.3415245315587235,106.27532596071006,1,1.2576999142765999,0.40513851607694545,31.87075458833887,1,11.035599745810032,8.038873388460929e-14,0.0,1,0.41479989886283875
J2+45,3.33562398762433e-14,0.0,0.11250004172325134,0.24140067398548126,0.0,0.0,3,0.17450004816055298,0.0638314905503922,7.262458259843308,1,0.9403005242347717,0.06412286497789643,7.707903174396083,1,0.9484002366662025,0.06420351130885486,8.301825686343847,1,1.1316007003188133,0.14766742745907876,29.19147957573166,1,12.690899893641472,1.218871079122509e-13,0.0,1,0.507100485265255
J3-30,5.974469253728935e-14,0.0,0.1221001148223877,0.3223000094294548,5.684341886080802e-14,0.0,3,0.1788996160030365,0.008834886210359917,1.6407648405894086,1,1.5938002616167068,0.008628724938534275,1.0850408504928017,1,2.0820004865527153,0.008488189955163006,0.7300783740443851,1,3.0027003958821297,0.35387794644199655,21.880315213919612,1,9.433000348508358,1.6350271672459108e-13,0.0,1,0.46429969370365143
J5+90,2.755455298081544e-15,0.0,0.12249965220689774,0.27010031044483185,0.0,0.0,4,0.2092001959681511,0.10587256813710719,25.69606358665735,1,1.2743007391691208,0.10606904845358191,25.369119923266027,1,1.3971999287605286,0.10618495344973812,25.490502116815218,1,1.1924002319574356,0.12292178725447231,57.307550649302236,1,9.884699247777462,2.755455298081541e-15,0.0,1,0.6016995757818222
rand1,2.6822400070865445e-13,0.0,0.13040006160736084,0.33350009471178055,2.773848179905249e-13,0.0,8,0.9123003110289574,0.043590061452544855,16.493045666905964,1,1.9912002608180046,0.04313594005605006,34.680674930720805,1,1.5831999480724335,0.04279650462386919,43.39153902630447,1,1.819799654185772,0.2101409534091665,69.49552437137535,1,20.908400416374207,2.015049590296376e-13,0.0,1,0.44240057468414307
rand2,1.530555893832145e-13,0.0,0.11279992759227753,0.2546999603509903,2.1268859807002749e-13,0.0,6,0.22959988564252853,0.1740411174102848,37.8549712372227,1,0.9367000311613083,0.17380924128434158,17.132611242893702,1,0.8510993793606758,0.17358645280021648,14.765021815650055,1,1.982799731194973,0.479324434352085,92.5033094183016,1,17.604099586606026,1.2710574864626038e-13,0.0,1,0.5433997139334679
home,3.552713678800501e-15,0.0,0.21719932556152344,0.3554997965693474,1.156679772130055e-13,0.0,4,0.29930006712675095,0.44425772186845147,155.98825766387748,1,1.6558999195694923,0.443389612056519,147.03876944889527,1,1.2614000588655472,0.44292520943037267,149.50354314736995,1,1.143200322985649,0.34824538803479554,199.03359527305304,1,10.092799551784992,1.139086659085919e-13,0.0,1,0.48090051859617233
rand_000,2.7847474288855413e-13,1.2074182697257333e-06,0.12600049376487732,0.2559991553425789,3.126388037344441e-13,0.0,4,0.30640047043561935,0.00021711006814330118,0.45770626011738663,1,1.3774996623396873,0.00021741863610293488,0.09271840287768379,1,1.768200658261776,0.00021718339827748087,0.0923099497776348,1,3.0962005257606506,0.2933776390457562,62.34067761968838,1,12.526900507509708,1.9691137908567693e-13,0.006147170253011476,1,0.3875000402331352
rand_001,1.2710574864626038e-13,1.2074182697257333e-06,0.09569991379976273,0.2891002222895622,2.799213746640164e-13,0.00434670577101264,4,0.1787003129720688,0.37657070381135316,48.853225929900084,1,1.1396994814276695,0.38216492119712664,81.55787879627516,1,1.1072000488638878,0.008957708582794788,0.6904834810785067,1,1.8070004880428314,0.30754092945623734,35.744974993414864,1,26.514699682593346,1.262128723236317e-12,0.0,1,0.4832996055483818
